"","Label","X0.10.","X10.20.","X20.30.","X30.40.","X40.50.","X50.60.","X60.70.","X70.80.","X80.90.","X90.100.","Cluster","Cor.RPL"
"201","11J1_CD4T_488Coro1A_555RPL10A_D002_13_nucleus_307_810_1_14",0.928546861064056,0.981089601394727,1.0035965284475,1.00345712009092,0.980482843969693,0.917873916695788,0.801108739486727,0.632971241811343,0.422268087563444,0.188851925724434,2,-0.488375627335322
"202","11J1_CD4T_488Coro1A_555RPL10A_D002_13_nucleus_369_849_2_14",0.888099406734007,0.958129946109234,0.996491087639112,1.00027386910091,0.965157914022326,0.882659306050269,0.748507819521252,0.571770583185451,0.364487782851806,0.141573470595592,2,-0.699974007143055
"203","11J1_CD4T_488Coro1A_555RPL10A_D002_13_nucleus_402_912_1_14",0.871587953667978,0.959063064697866,1.0047031022268,1.00906846229141,0.973650368079128,0.890260834482352,0.752632723286836,0.572106358823128,0.364226522676274,0.142937754584284,2,-0.409559170647938
"204","11J1_CD4T_488Coro1A_555RPL10A_D002_13_nucleus_454_312_1_14",0.879988454797603,0.962881706286093,1.00346222299005,1.00927609091903,0.975457786512164,0.886390525790518,0.745800807740176,0.57407471085461,0.387307755327947,0.193417374282942,2,-0.688593254083474
"205","11J1_CD4T_488Coro1A_555RPL10A_D002_13_nucleus_566_144_1_14",0.869681315060852,0.967041735988049,0.999126379189154,1.00072383347138,0.979524909069674,0.929890053562262,0.838621655818917,0.688775807491605,0.481303198292454,0.243976907578557,2,-0.463967361471891
"206","11J1_CD4T_488Coro1A_555RPL10A_D002_13_nucleus_579_770_2_14",0.939680188361862,0.995841296644706,1.00777417610998,0.997505080257536,0.970023792401154,0.914898308682313,0.805711833744888,0.633734025324109,0.412131764865379,0.16301542863429,2,-0.563003080039065
"207","11J1_CD4T_488Coro1A_555RPL10A_D002_13_nucleus_731_662_1_14",0.943841719413784,0.949277374862802,0.979197822420628,0.997936604273899,0.975077113718919,0.891554551884029,0.739758617364375,0.546174738034918,0.341453540112348,0.134373316042803,2,-0.395466726375776
"208","11J1_CD4T_488Coro1A_555RPL10A_D002_13_nucleus_798_331_1_14",0.935743753808245,0.903137005944216,0.889820736423683,0.876226147368806,0.842484813138613,0.772595518872086,0.657719651899573,0.506141856231623,0.329136456121046,0.139261752036509,1,-0.496666774707637
"209","11J1_CD4T_488Coro1A_555RPL10A_D002_13_nucleus_927_424_1_14",0.932799976080115,0.949272433417741,0.978602753460322,0.988396710271314,0.95291133830105,0.862180021354168,0.719126245647602,0.544978841573713,0.358119285339974,0.165757129499595,2,-0.27280499498608
"210","11J1_CD4T_488Coro1A_555RPL10A_D002_14_nucleus_161_388_3_15",0.949830446064834,0.916561800549379,0.913900035355597,0.91805539161069,0.905901175881655,0.861024172104937,0.770679642634715,0.629362375318023,0.438441798840433,0.22032977945059,1,-0.50806876233836
"211","11J1_CD4T_488Coro1A_555RPL10A_D002_14_nucleus_222_427_2_15",0.979620733830477,0.985815989194341,0.97646683426137,0.984868630987084,0.999503992353998,0.991831914521464,0.926296151299421,0.780628196197168,0.545235927633462,0.254467160380347,2,-0.812414625906099
"212","11J1_CD4T_488Coro1A_555RPL10A_D002_14_nucleus_302_658_2_15",0.961208245778108,0.996534102174286,1.00795283190471,0.999782437325948,0.969300941750173,0.899794732835612,0.780861738048727,0.617393655095344,0.418557712907086,0.201306729699528,2,-0.398748625675568
"213","11J1_CD4T_488Coro1A_555RPL10A_D002_14_nucleus_499_282_1_14",0.941191807201937,0.913796656547638,0.8806854010295,0.839399461953343,0.784021683302927,0.706630437179263,0.602444202598483,0.47535491917469,0.33134546583062,0.17868733103841,1,-0.595581578695395
"214","11J1_CD4T_488Coro1A_555RPL10A_D002_14_nucleus_525_218_2_14",0.881879632484436,0.769273958019874,0.740390992732676,0.747767466532344,0.745990980261285,0.71836923786543,0.654052497663111,0.540111158148172,0.369113505998782,0.164669907619002,1,-0.559000585014156
"215","11J1_CD4T_488Coro1A_555RPL10A_D002_14_nucleus_634_876_1_15",0.93298888438418,0.891157705544378,0.884568121412382,0.88015652745226,0.848505324844014,0.77682377084648,0.66188787675042,0.513309634883226,0.342046514405846,0.159426777481103,1,-0.590464528521144
"216","11J1_CD4T_488Coro1A_555RPL10A_D002_14_nucleus_706_434_1_15",0.935088074859494,0.956510608226145,0.970886902587045,0.957818589964045,0.906741668110286,0.812821442597038,0.683560741372432,0.531305103569817,0.365729905143373,0.193575354314398,1,-0.430145126561935
"217","11J1_CD4T_488Coro1A_555RPL10A_D002_15_nucleus_112_747_3_15",0.955650731623874,0.989558460202418,1.00114809908722,0.999254417829291,0.984789546012881,0.953272861883042,0.89359183097043,0.767711333310202,0.540361344631252,0.247795402876086,2,-0.557202519024388
"218","11J1_CD4T_488Coro1A_555RPL10A_D002_15_nucleus_372_491_2_15",0.920211534342448,0.976607691935865,1.00040039991046,0.997314725736997,0.969779217575757,0.896821535022759,0.766101841617294,0.589494950811477,0.382140061654901,0.159495356998513,2,-0.618500679641513
"219","11J1_CD4T_488Coro1A_555RPL10A_D002_15_nucleus_491_127_3_15",0.720185560337171,0.912881348876783,0.999527396791839,1.00520000263105,0.956995186529091,0.865253083197721,0.73679303832447,0.574338262139009,0.381593216395233,0.172125038397612,2,-0.362802512420106
"220","11J1_CD4T_488Coro1A_555RPL10A_D002_15_nucleus_539_433_2_15",0.89858686165169,0.940455059562738,0.979277220678243,0.993173577926188,0.966000183605462,0.892172151206205,0.770569019012947,0.605373055254141,0.404468116038994,0.184947380275231,2,-0.286071066441769
"221","11J1_CD4T_488Coro1A_555RPL10A_D002_15_nucleus_631_459_1_15",0.9890501506938,0.994730881572065,0.992517043363544,0.970327232091392,0.924593304418521,0.847354283171653,0.727632329855842,0.568063940962116,0.379124237117531,0.174800204918272,1,-0.630578238003923
"222","11J1_CD4T_488Coro1A_555RPL10A_D002_15_nucleus_644_276_3_15",0.945851736480848,0.974433440891074,0.989386115412867,0.999538385036819,0.992938689562118,0.954387505752623,0.86744658615989,0.714991268661595,0.485535258753005,0.208894127151128,2,-0.503743684140513
"223","11J1_CD4T_488Coro1A_555RPL10A_D002_15_nucleus_701_796_1_15",0.970286556557754,0.979005798742264,0.994353998932211,0.996886027846867,0.964666082876069,0.878390380847664,0.739185166863397,0.566246862765319,0.375593215100834,0.176438020830401,1,-0.586384197127373
"224","11J1_CD4T_488Coro1A_555RPL10A_D002_15_nucleus_82_703_0_12",0.856228155203134,0.946196986969385,0.998090253353443,1.01067651164687,0.980370061699185,0.902862442735111,0.781495050698656,0.622999779063748,0.437172974450762,0.237584124723906,2,-0.411285056861355
"225","11J1_CD4T_488Coro1A_555RPL10A_D002_16_nucleus_127_537_2_15",0.921136309021285,0.97928696140105,0.999779092606404,0.996592365116517,0.973024706289101,0.912507847339623,0.806239523812181,0.655492113470187,0.4668893020191,0.258991310574158,2,-0.252723878584675
